runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.6862,1,4464,1338753,1342248,0,0,0,0,0,0,./benchmark/64room_005.map.scen,0
2.00138,1,4416,1559893,1562582,0,0,0,0,0,0,./benchmark/64room_005.map.scen,1
0.798272,1,4572,734583,738941,0,0,0,0,0,0,./benchmark/64room_005.map.scen,2
1.73451,1,4412,1368497,1371801,0,0,0,0,0,0,./benchmark/64room_005.map.scen,3
2.58715,1,4512,2035410,2038228,0,0,0,0,0,0,./benchmark/64room_005.map.scen,4
1.98271,1,4400,1567809,1572527,0,0,0,0,0,0,./benchmark/64room_005.map.scen,5
2.22706,1,4396,1764437,1767381,0,0,0,0,0,0,./benchmark/64room_005.map.scen,6
4.17281,1,4572,3166138,3169283,0,0,0,0,0,0,./benchmark/64room_005.map.scen,7
1.75705,1,4424,1382273,1385763,0,0,0,0,0,0,./benchmark/64room_005.map.scen,8
3.13272,1,4536,2335014,2337781,0,0,0,0,0,0,./benchmark/64room_005.map.scen,9
1.45175,2,4464,1522293,1524221,170760,0.828399,0.0549573,0.0701554,0.062384,0.00163276,./benchmark/64room_005.map.scen,0
1.70664,2,4416,1809935,1822833,229666,1.08069,0.0596932,0.0832984,0.0967887,0.00243724,./benchmark/64room_005.map.scen,1
0.794928,2,4572,879438,884623,97460,0.48183,0.0338128,0.0421765,0.0338009,0.00226675,./benchmark/64room_005.map.scen,2
1.44236,2,4412,1574514,1579577,206550,0.87206,0.0461306,0.0676547,0.0912704,0.0596483,./benchmark/64room_005.map.scen,3
2.12779,2,4512,2272765,2273446,263382,1.16915,0.0719651,0.102049,0.0973398,0.000224718,./benchmark/64room_005.map.scen,4
1.63727,2,4400,1793310,1798486,194849,1.01303,0.0681447,0.0852636,0.0738732,0.00355138,./benchmark/64room_005.map.scen,5
1.7904,2,4396,1985380,1986167,218489,1.03605,0.0639791,0.089552,0.0801592,0.000753326,./benchmark/64room_005.map.scen,6
