runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
3.45127,1,7902,2904625,2917273,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,0
0.425331,1,8196,422250,432673,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,1
0.0451751,1,7992,91209,103675,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,2
13.9831,1,7914,9020851,9026417,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,3
14.0346,1,7994,9044197,9049814,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,4
0.424416,1,8104,422422,433237,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,5
1.06646,1,8208,872546,881738,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,6
14.025,1,7958,9024873,9030610,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,7
0.459012,1,8192,450996,461794,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,8
14.2163,1,8324,9250871,9256870,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,9
3.0868,2,7902,3215281,3222583,378660,1.91349,0.126105,0.147257,0.145312,6.8659e-05,./benchmark/Boston_0_1024.map.scen,0
0.782742,2,8196,707932,715679,62661,0.244062,0.0162954,0.0220553,0.0220445,2.505e-05,./benchmark/Boston_0_1024.map.scen,1
0.456262,2,7992,330337,339682,11751,0.0241121,0.00300145,0.0036416,0.00247602,1.0189e-05,./benchmark/Boston_0_1024.map.scen,2
11.2676,2,7914,10573151,10584639,1434511,7.3538,0.312484,0.46201,0.716053,0.222611,./benchmark/Boston_0_1024.map.scen,3
11.0018,2,7994,10445692,10451714,1407612,7.3347,0.323092,0.460199,0.700552,6.9811e-05,./benchmark/Boston_0_1024.map.scen,4
0.780619,2,8104,709973,717341,62751,0.2329,0.016226,0.0222144,0.032052,9.596e-06,./benchmark/Boston_0_1024.map.scen,5
1.29142,2,8208,1215039,1235410,157266,0.539158,0.029692,0.0458213,0.0779632,0.346042,./benchmark/Boston_0_1024.map.scen,6
11.1398,2,7958,10553231,10560129,1425481,7.43456,0.322281,0.464209,0.710565,0.000123492,./benchmark/Boston_0_1024.map.scen,7
0.830137,2,8192,737591,747402,67188,0.503547,0.0489843,0.0370406,0.0301038,6.5022e-05,./benchmark/Boston_0_1024.map.scen,8
11.0777,2,8324,10539846,10545489,1406151,7.33841,0.320422,0.479838,0.682337,8.9517e-05,./benchmark/Boston_0_1024.map.scen,9
1.81243,4,7902,3516314,3519026,329446,0.995856,0.140947,0.169507,0.117396,0.00017077,./benchmark/Boston_0_1024.map.scen,0
1.68863,4,8196,2409711,2573867,219407,0.113568,0.0179802,0.0459796,0.106954,1.13085,./benchmark/Boston_0_1024.map.scen,1
1.43923,4,7992,2199267,2207061,12538,0.0177548,0.0043676,0.00602189,0.00236712,1.3565e-05,./benchmark/Boston_0_1024.map.scen,2
6.29344,4,7914,11409015,11450490,1101417,3.38231,0.369035,0.493358,0.491053,0.322822,./benchmark/Boston_0_1024.map.scen,3
6.20871,4,7994,11568212,11570497,1140844,3.62853,0.412959,0.518695,0.497798,8.4038e-05,./benchmark/Boston_0_1024.map.scen,4
1.60365,4,8104,2519187,2526872,54526,0.115038,0.0179854,0.0251449,0.0156502,5.1549e-05,./benchmark/Boston_0_1024.map.scen,5
1.60593,4,8208,2698149,2703592,247224,0.886396,0.12063,0.147496,0.109275,0.000122659,./benchmark/Boston_0_1024.map.scen,6
6.10143,4,7958,11199434,11202134,1068157,3.53817,0.401511,0.541102,0.446216,8.9402e-05,./benchmark/Boston_0_1024.map.scen,7
1.24583,4,8192,1914261,1921157,168692,0.730818,0.0894168,0.0987324,0.061919,8.4198e-05,./benchmark/Boston_0_1024.map.scen,8
6.3158,4,8324,11721435,11723881,1155547,3.67771,0.389102,0.548159,0.514378,8.4479e-05,./benchmark/Boston_0_1024.map.scen,9
1.10394,8,7904,3812600,3861715,209250,0.526265,0.104917,0.0909669,0.112042,0.000175067,./benchmark/Boston_0_1024.map.scen,0
1.25579,8,8196,3758355,3942559,204082,0.570639,0.110167,0.0997404,0.0789255,0.000513011,./benchmark/Boston_0_1024.map.scen,1
1.49341,8,7992,4633331,4638977,9893,0.0128731,0.00403207,0.00439216,0.00184705,1.6573e-05,./benchmark/Boston_0_1024.map.scen,2
3.26614,8,7914,11562559,11564593,642076,1.7705,0.310396,0.26546,0.296829,0.000104797,./benchmark/Boston_0_1024.map.scen,3
3.31322,8,7994,11804502,11807265,656226,1.74596,0.310912,0.274375,0.358811,2.2792e-05,./benchmark/Boston_0_1024.map.scen,4
1.34392,8,8104,4307556,4313157,35086,0.0690196,0.0153431,0.0143369,0.0096228,5.25599e-05,./benchmark/Boston_0_1024.map.scen,5
1.28549,8,8208,4213108,4217426,227306,0.690637,0.131481,0.108903,0.084695,0.000305351,./benchmark/Boston_0_1024.map.scen,6
3.37906,8,7958,11929561,11981855,668005,1.80705,0.316981,0.271702,0.31214,0.0171645,./benchmark/Boston_0_1024.map.scen,7
1.15336,8,8192,3925879,3931879,214553,0.607889,0.107965,0.0973547,0.0877334,2.8918e-05,./benchmark/Boston_0_1024.map.scen,8
3.3605,8,8324,12055905,12057909,669803,1.82882,0.314321,0.276414,0.302321,8.9459e-05,./benchmark/Boston_0_1024.map.scen,9
0.680299,16,8208,4438813,4442057,129306,0.314593,0.0821601,0.0567189,0.0433105,0.000698102,./benchmark/Boston_0_1024.map.scen,6
1.65884,16,7958,11656113,11656701,343688,0.815684,0.225297,0.133852,0.13338,0.000430802,./benchmark/Boston_0_1024.map.scen,7
0.791504,16,8192,4343103,4451872,124190,0.306792,0.0898062,0.0526775,0.041738,0.000560928,./benchmark/Boston_0_1024.map.scen,8
1.71055,16,8324,12037212,12066917,360061,0.832672,0.224869,0.139056,0.144926,0.000152542,./benchmark/Boston_0_1024.map.scen,9
0.222021,32,8208,2405279,2407034,36328,0.0687839,0.0318548,0.0148647,0.00928749,0.0011819,./benchmark/Boston_0_1024.map.scen,6
0.912916,32,7958,11960676,11961200,172512,0.364726,0.15638,0.0624358,0.062658,0.000724159,./benchmark/Boston_0_1024.map.scen,7
0.332904,32,8192,3970175,3973035,58925,0.11222,0.0460682,0.024325,0.0223514,0.000678478,./benchmark/Boston_0_1024.map.scen,8
0.90554,32,8324,11834544,11835674,181491,0.389774,0.163238,0.0678073,0.0642345,0.000831604,./benchmark/Boston_0_1024.map.scen,9
0.152838,64,8208,2136804,2159711,17197,0.0278422,0.0162903,0.00699202,0.00415369,0.00156936,./benchmark/Boston_0_1024.map.scen,6
0.526017,64,7958,12081359,12102588,94150,0.174466,0.111632,0.0344508,0.0346686,0.00809807,./benchmark/Boston_0_1024.map.scen,7
0.166551,64,8192,2403748,2462305,18980,0.0315431,0.0183444,0.00745624,0.00427743,0.00479224,./benchmark/Boston_0_1024.map.scen,8
0.539773,64,8324,12230141,12249516,94973,0.18292,0.116539,0.034875,0.0282525,0.00582322,./benchmark/Boston_0_1024.map.scen,9
0.206137,128,8208,2765734,2825621,11152,0.0165514,0.0177547,0.00522575,0.00334805,0.00994146,./benchmark/Boston_0_1024.map.scen,6
0.457902,128,7958,12721979,12744050,49270,0.096186,0.0911301,0.0189031,0.0186827,0.0176494,./benchmark/Boston_0_1024.map.scen,7
0.193482,128,8192,2403887,2454579,9666,0.0156918,0.0148945,0.00457337,0.00254455,0.00176973,./benchmark/Boston_0_1024.map.scen,8
0.453035,128,8324,13081159,13099938,49579,0.0991306,0.0903357,0.0207217,0.0144228,0.0228366,./benchmark/Boston_0_1024.map.scen,9
