runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.85737,1,26078,1627600,1627957,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,0
2.08403,1,26038,1809922,1810107,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,1
2.30455,1,26092,1984375,1984495,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,2
2.4067,1,26084,2049737,2049790,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,3
2.21465,1,26040,1907869,1908000,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,4
2.0571,1,26040,1785843,1786059,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,5
2.51362,1,26068,2095900,2095946,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,6
2.48141,1,26060,2093434,2093486,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,7
2.2682,1,26078,1946853,1946888,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,8
2.12929,1,26120,1832706,1832981,0,0,0,0,0,0,./benchmark/maze512-1-9.map.scen,9
2.55679,1,26078,1627600,1627948,0,1.65284,0.0473416,0.0816368,0.051759,2.2653e-05,./benchmark/maze512-1-9.map.scen,0
2.85596,1,26038,1809923,1810108,0,1.89628,0.0525117,0.0888216,0.0529514,2.094e-05,./benchmark/maze512-1-9.map.scen,1
3.10622,1,26092,1984376,1984495,0,2.03411,0.0577105,0.0950428,0.0580132,2.2482e-05,./benchmark/maze512-1-9.map.scen,2
3.25783,1,26084,2049736,2049788,0,2.13383,0.0593309,0.101684,0.0598014,2.2412e-05,./benchmark/maze512-1-9.map.scen,3
2.9989,1,26040,1907871,1908002,0,1.99014,0.0553443,0.0934421,0.0557203,2.0959e-05,./benchmark/maze512-1-9.map.scen,4
2.8162,1,26040,1785843,1786059,0,1.86429,0.0517877,0.0930096,0.0522213,2.0769e-05,./benchmark/maze512-1-9.map.scen,5
3.32747,1,26068,2095900,2095947,0,2.17578,0.0606663,0.104499,0.0612215,1.9357e-05,./benchmark/maze512-1-9.map.scen,6
3.33105,1,26060,2093434,2093486,0,2.17783,0.0609548,0.109859,0.0611315,2.0509e-05,./benchmark/maze512-1-9.map.scen,7
3.0786,1,26078,1946853,1946888,0,2.01293,0.0562382,0.101383,0.0568596,2.128e-05,./benchmark/maze512-1-9.map.scen,8
2.87232,1,26120,1832706,1832985,0,1.89232,0.0550454,0.0955847,0.0567021,2.3053e-05,./benchmark/maze512-1-9.map.scen,9
1.45492,2,26078,1641378,1641445,102327,0.823473,0.0656233,0.0802412,0.0570813,0.038033,./benchmark/maze512-1-9.map.scen,0
