runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.71048,1,8570,1423718,1424727,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,0
1.90598,1,8522,1578161,1578789,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,1
1.67639,1,8516,1395631,1396311,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,2
1.60247,1,8576,1341255,1341867,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,3
2.00189,1,8580,1611844,1612311,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,4
1.79774,1,8556,1480981,1481621,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,5
1.98997,1,8578,1621060,1621396,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,6
1.74591,1,8546,1445604,1446564,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,7
1.943,1,8564,1600240,1600661,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,8
1.63309,1,8552,1352101,1352723,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,9
1.30881,2,8570,1484442,1484468,119298,0.792644,0.045211,0.0633179,0.0658881,0.00215694,./benchmark/random512-40-5.map.scen,0
1.44751,2,8522,1646861,1647447,133782,0.878482,0.0526932,0.0762085,0.0643245,0.00498213,./benchmark/random512-40-5.map.scen,1
1.27191,2,8516,1452418,1452971,119884,0.796053,0.0430333,0.0608921,0.0577863,0.00131638,./benchmark/random512-40-5.map.scen,2
1.22717,2,8576,1397327,1398000,115667,0.772381,0.0417934,0.059169,0.0550266,0.00147373,./benchmark/random512-40-5.map.scen,3
1.47181,2,8580,1685299,1685377,138086,0.90793,0.0489965,0.0721347,0.0664721,0.0119887,./benchmark/random512-40-5.map.scen,4
1.35525,2,8556,1553549,1553605,128429,0.847788,0.045239,0.0640044,0.0660106,0.00518602,./benchmark/random512-40-5.map.scen,5
1.46323,2,8578,1677121,1677128,134996,0.900886,0.0475237,0.0729115,0.0621069,0.013155,./benchmark/random512-40-5.map.scen,6
1.32398,2,8546,1513637,1513947,125012,0.828166,0.0442141,0.0625234,0.0651404,0.00465954,./benchmark/random512-40-5.map.scen,7
1.51368,2,8564,1673805,1674277,137810,0.892387,0.0714024,0.0841717,0.0715613,0.00746657,./benchmark/random512-40-5.map.scen,8
1.24898,2,8552,1418872,1419586,116729,0.785654,0.0424433,0.0590027,0.0560075,0.00527439,./benchmark/random512-40-5.map.scen,9
0.732636,4,8570,1566833,1567605,94356,0.361867,0.0583755,0.070842,0.0344524,0.0273872,./benchmark/random512-40-5.map.scen,0
0.78371,4,8522,1728521,1728575,104671,0.400574,0.0606675,0.0754155,0.0386454,0.0158868,./benchmark/random512-40-5.map.scen,1
0.712739,4,8516,1531157,1531262,92369,0.355444,0.0564226,0.0710796,0.0339573,0.0171514,./benchmark/random512-40-5.map.scen,2
0.690184,4,8576,1462108,1462190,88307,0.343451,0.0553009,0.065867,0.032477,0.0181195,./benchmark/random512-40-5.map.scen,3
0.798526,4,8580,1755449,1755492,107190,0.409403,0.0601633,0.0751922,0.0411692,0.017151,./benchmark/random512-40-5.map.scen,4
0.756478,4,8556,1629852,1629883,97784,0.346251,0.0605527,0.073242,0.0636236,0.0200516,./benchmark/random512-40-5.map.scen,5
0.797557,4,8578,1765347,1765358,106757,0.407726,0.0606832,0.0745417,0.044936,0.0143995,./benchmark/random512-40-5.map.scen,6
0.732549,4,8546,1582256,1582999,95345,0.368577,0.059089,0.0707875,0.0347825,0.0176593,./benchmark/random512-40-5.map.scen,7
0.791343,4,8564,1751466,1751980,106330,0.405867,0.0636845,0.0767678,0.0408315,0.00401058,./benchmark/random512-40-5.map.scen,8
0.694296,4,8552,1481981,1482089,89075,0.345135,0.0559555,0.0663274,0.0326815,0.0186965,./benchmark/random512-40-5.map.scen,9
0.398501,8,8570,1581690,1581759,55878,0.17936,0.0444637,0.0384541,0.0201214,0.0138816,./benchmark/random512-40-5.map.scen,0
0.436621,8,8522,1777095,1777143,62164,0.196553,0.0440544,0.0422021,0.022306,0.0150273,./benchmark/random512-40-5.map.scen,1
0.396788,8,8516,1586029,1586394,56074,0.176983,0.0449274,0.0383269,0.0196807,0.0140636,./benchmark/random512-40-5.map.scen,2
0.387986,8,8576,1503870,1504249,53350,0.16942,0.0434731,0.0367507,0.018729,0.0134562,./benchmark/random512-40-5.map.scen,3
0.44287,8,8580,1814956,1815473,63900,0.201681,0.0434446,0.0424751,0.0231966,0.0165939,./benchmark/random512-40-5.map.scen,4
0.412523,8,8556,1639084,1639157,57594,0.184836,0.0453073,0.0397371,0.0205744,0.0142363,./benchmark/random512-40-5.map.scen,5
0.448676,8,8578,1826494,1826538,64523,0.188591,0.0457727,0.0439095,0.0370432,0.0160611,./benchmark/random512-40-5.map.scen,6
0.416867,8,8546,1625666,1625913,57367,0.182358,0.0455514,0.0383777,0.0201692,0.0132035,./benchmark/random512-40-5.map.scen,7
0.44042,8,8564,1801268,1801355,63273,0.199212,0.0442491,0.0421733,0.0224963,0.0153938,./benchmark/random512-40-5.map.scen,8
0.383829,8,8552,1508581,1508603,53163,0.168824,0.043126,0.037601,0.0188312,0.0139446,./benchmark/random512-40-5.map.scen,9
0.223657,16,8570,1655812,1655882,30894,0.0805813,0.0277513,0.0205844,0.0110222,0.0113245,./benchmark/random512-40-5.map.scen,0
0.236499,16,8530,1835710,1835710,34324,0.0873379,0.0301614,0.0221845,0.0137852,0.0101863,./benchmark/random512-40-5.map.scen,1
0.220012,16,8516,1656761,1656819,30607,0.0804763,0.0269444,0.0202318,0.010561,0.0111786,./benchmark/random512-40-5.map.scen,2
0.213438,16,8576,1574339,1574456,29172,0.0770246,0.0274603,0.0200661,0.0102733,0.0111994,./benchmark/random512-40-5.map.scen,3
0.240372,16,8580,1839594,1839660,34624,0.0845276,0.0304557,0.0223566,0.0181912,0.0107563,./benchmark/random512-40-5.map.scen,4
0.228502,16,8556,1728209,1728281,31985,0.0824637,0.0286039,0.0215275,0.0121739,0.0115889,./benchmark/random512-40-5.map.scen,5
0.243756,16,8578,1875725,1875826,35164,0.0887117,0.0312132,0.0228445,0.0140775,0.0116037,./benchmark/random512-40-5.map.scen,6
0.22284,16,8546,1687316,1687386,31260,0.0823357,0.0276705,0.0207013,0.0107382,0.0107505,./benchmark/random512-40-5.map.scen,7
0.239316,16,8564,1846137,1846201,34579,0.0897688,0.030341,0.0225312,0.0121669,0.0106673,./benchmark/random512-40-5.map.scen,8
0.216182,16,8552,1628223,1628266,29858,0.0776166,0.0266559,0.0199883,0.0105353,0.0117663,./benchmark/random512-40-5.map.scen,9
0.133765,32,8570,1737324,1737365,17073,0.0378624,0.0213429,0.0117499,0.00583094,0.00839013,./benchmark/random512-40-5.map.scen,0
