runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
0.0510785,1,1122,84272,85152,0,0,0,0,0,0,./benchmark/64room_005.map.scen,0
0.0596703,1,1110,97756,98427,0,0,0,0,0,0,./benchmark/64room_005.map.scen,1
0.0260383,1,1146,46486,47560,0,0,0,0,0,0,./benchmark/64room_005.map.scen,2
0.0528855,1,1109,86037,86866,0,0,0,0,0,0,./benchmark/64room_005.map.scen,3
0.0760057,1,1131,127203,127904,0,0,0,0,0,0,./benchmark/64room_005.map.scen,4
0.0611288,1,1106,99234,100398,0,0,0,0,0,0,./benchmark/64room_005.map.scen,5
0.0671217,1,1105,110592,111326,0,0,0,0,0,0,./benchmark/64room_005.map.scen,6
0.149994,1,1149,198142,198921,0,0,0,0,0,0,./benchmark/64room_005.map.scen,7
0.0535073,1,1112,87032,87959,0,0,0,0,0,0,./benchmark/64room_005.map.scen,8
0.0955269,1,1137,146142,146834,0,0,0,0,0,0,./benchmark/64room_005.map.scen,9
0.126934,1,1122,84272,85152,0,0.0629862,0.00242806,0.0309285,0.00248082,2.5618e-05,./benchmark/64room_005.map.scen,0
0.144668,1,1110,97756,98427,0,0.0737723,0.00282141,0.0319414,0.00288112,2.5648e-05,./benchmark/64room_005.map.scen,1
0.0648755,1,1146,46486,47560,0,0.0303644,0.00134032,0.0189807,0.0013744,2.3534e-05,./benchmark/64room_005.map.scen,2
0.108768,1,1109,86037,86866,0,0.0635565,0.00248958,0.0124062,0.00253355,2.5397e-05,./benchmark/64room_005.map.scen,3
0.169187,1,1131,127203,127904,0,0.0918017,0.00366738,0.0231875,0.00375792,2.5698e-05,./benchmark/64room_005.map.scen,4
0.13643,1,1106,99234,100398,0,0.0745509,0.00285784,0.0214843,0.00293405,2.6039e-05,./benchmark/64room_005.map.scen,5
0.169374,1,1105,110592,111326,0,0.0829339,0.00320263,0.0406322,0.00328563,2.3985e-05,./benchmark/64room_005.map.scen,6
0.29057,1,1149,198142,198921,0,0.16027,0.00571702,0.0435754,0.00585967,2.5567e-05,./benchmark/64room_005.map.scen,7
0.139072,1,1112,87032,87959,0,0.0655276,0.00253273,0.0394784,0.00259211,2.4826e-05,./benchmark/64room_005.map.scen,8
0.203083,1,1137,146142,146834,0,0.116848,0.00422689,0.0235648,0.00431675,2.3344e-05,./benchmark/64room_005.map.scen,9
0.0878485,2,1122,100826,102600,98157,0.0319735,0.00668558,0.00824543,0.0132849,0.00961138,./benchmark/64room_005.map.scen,0
0.0984419,2,1110,114089,115757,113943,0.0360954,0.00734258,0.00915992,0.0154431,0.00875074,./benchmark/64room_005.map.scen,1
0.0537756,2,1146,63233,63860,57807,0.0255747,0.00546655,0.00514979,0.00685799,5.7205e-05,./benchmark/64room_005.map.scen,2
0.0901673,2,1109,106064,106321,102610,0.0402718,0.00805531,0.00876384,0.013823,6.4045e-05,./benchmark/64room_005.map.scen,3
0.125065,2,1131,144388,149983,148625,0.0564251,0.0107166,0.0116995,0.0175278,3.781e-05,./benchmark/64room_005.map.scen,4
0.100335,2,1106,122470,127254,134864,0.0378173,0.00801722,0.00981038,0.016585,0.00643804,./benchmark/64room_005.map.scen,5
0.112149,2,1105,137253,137538,144397,0.0494212,0.00983152,0.0112078,0.0173428,6.1641e-05,./benchmark/64room_005.map.scen,6
0.18648,2,1149,223048,228522,236233,0.0778217,0.0155102,0.018164,0.0290323,0.00262173,./benchmark/64room_005.map.scen,7
0.0910567,2,1112,104600,106049,87334,0.0385415,0.0101435,0.00928003,0.00803153,0.00189178,./benchmark/64room_005.map.scen,8
0.138971,2,1137,160247,164215,162602,0.0617259,0.0113148,0.0129572,0.0191104,1.1281e-05,./benchmark/64room_005.map.scen,9
0.0709748,4,1122,106083,110420,50938,0.0156448,0.014655,0.0192441,0.00470078,0.00475844,./benchmark/64room_005.map.scen,0
0.0770745,4,1110,118307,122021,56083,0.0172679,0.0166382,0.0214607,0.00524948,0.00407023,./benchmark/64room_005.map.scen,1
0.0436328,4,1146,66330,68507,28919,0.0103418,0.0103412,0.0105561,0.00272163,0.00381313,./benchmark/64room_005.map.scen,2
0.0711613,4,1109,108371,109463,45819,0.0161324,0.0160687,0.0185724,0.00456445,0.00138186,./benchmark/64room_005.map.scen,3
0.0970366,4,1131,149469,149561,66075,0.0228694,0.0224902,0.024237,0.0084823,0.000876312,./benchmark/64room_005.map.scen,4
0.0778958,4,1106,122417,122650,52791,0.0183462,0.0172011,0.0212186,0.005402,0.000346958,./benchmark/64room_005.map.scen,5
0.0835329,4,1105,131403,132761,58721,0.0198933,0.0187282,0.0224975,0.0061728,0.000100688,./benchmark/64room_005.map.scen,6
0.146681,4,1149,222130,225246,104085,0.0374929,0.0334824,0.0376671,0.0104801,0.00434664,./benchmark/64room_005.map.scen,7
0.0754379,4,1112,111345,116810,49352,0.0162444,0.0160355,0.0196296,0.00484558,0.005773,./benchmark/64room_005.map.scen,8
0.107624,4,1137,166203,166222,71123,0.0266804,0.0237831,0.0279924,0.00690101,0.000195765,./benchmark/64room_005.map.scen,9
0.0370398,8,1122,111164,111433,24897,0.00695448,0.00777309,0.0102349,0.0025655,0.00107286,./benchmark/64room_005.map.scen,0
0.0413252,8,1110,122858,125169,27727,0.00747054,0.00838253,0.0106953,0.00273433,0.00419438,./benchmark/64room_005.map.scen,1
0.0244692,8,1146,72105,72766,13909,0.0045402,0.0051497,0.00599985,0.00132084,0.000541005,./benchmark/64room_005.map.scen,2
0.038815,8,1109,115935,116179,24023,0.00721687,0.00792074,0.00980762,0.0022952,0.00121828,./benchmark/64room_005.map.scen,3
0.0490962,8,1131,144939,145105,29939,0.00972075,0.0110985,0.0124541,0.00291578,0.00136949,./benchmark/64room_005.map.scen,4
0.0419527,8,1106,127036,127751,26891,0.00818651,0.0085487,0.0114769,0.00261189,0.000858694,./benchmark/64room_005.map.scen,5
0.0470276,8,1105,137320,138294,27684,0.00921619,0.010629,0.0117566,0.00269568,0.000952412,./benchmark/64room_005.map.scen,6
0.0777008,8,1149,229702,231722,50698,0.0171094,0.0167194,0.0197238,0.00529935,0.00526677,./benchmark/64room_005.map.scen,7
0.0406829,8,1112,116776,119832,27493,0.00726293,0.00795983,0.0108999,0.00270758,0.00351158,./benchmark/64room_005.map.scen,8
0.0581965,8,1137,172039,173469,37777,0.0116613,0.0126262,0.0143692,0.00485416,0.004495,./benchmark/64room_005.map.scen,9
0.0217063,16,1122,118942,119256,10556,0.00293073,0.00409268,0.0044898,0.00114021,0.00108401,./benchmark/64room_005.map.scen,0
0.0249397,16,1110,132365,134225,12905,0.00323554,0.00481485,0.00529908,0.00132091,0.00408496,./benchmark/64room_005.map.scen,1
0.0163931,16,1146,82027,82218,6943,0.00204446,0.00341665,0.00294362,0.000735414,0.000592673,./benchmark/64room_005.map.scen,2
0.0225195,16,1109,123399,123811,10416,0.00303279,0.00439552,0.0048601,0.00107974,0.000988871,./benchmark/64room_005.map.scen,3
0.0287405,16,1131,163308,163364,14727,0.00416239,0.00579793,0.00649495,0.00146961,0.00155611,./benchmark/64room_005.map.scen,4
0.0259745,16,1106,142923,143038,12640,0.00360405,0.00549562,0.00551604,0.00125784,0.00103315,./benchmark/64room_005.map.scen,5
0.0259298,16,1105,142555,144709,14068,0.00368959,0.00536796,0.00553262,0.00135345,0.00373439,./benchmark/64room_005.map.scen,6
0.0394429,16,1149,238693,238714,21925,0.00680503,0.00948202,0.0093096,0.00228394,0.00136119,./benchmark/64room_005.map.scen,7
0.0230566,16,1112,124833,124874,11198,0.00320819,0.00496445,0.00486986,0.00120508,0.00108372,./benchmark/64room_005.map.scen,8
0.030768,16,1137,179921,179933,16533,0.00481904,0.00713364,0.00733481,0.00163329,0.00146089,./benchmark/64room_005.map.scen,9
0.0153129,32,1122,129874,131421,3972,0.000965902,0.00230565,0.00214323,0.000648483,0.00333249,./benchmark/64room_005.map.scen,0
0.015474,32,1110,135894,135930,4407,0.00108994,0.00260105,0.00234393,0.000671549,0.00152235,./benchmark/64room_005.map.scen,1
0.0128334,32,1146,104908,105005,2970,0.000787703,0.00162538,0.00171553,0.000409521,0.000769151,./benchmark/64room_005.map.scen,2
0.0151602,32,1109,132184,132251,4161,0.00103655,0.00261231,0.00215282,0.000634514,0.00124774,./benchmark/64room_005.map.scen,3
0.0182659,32,1131,175989,176009,5780,0.00169435,0.00319718,0.00291961,0.000862242,0.00166748,./benchmark/64room_005.map.scen,4
0.0162017,32,1106,146956,146986,4497,0.00125264,0.00279049,0.00231245,0.000644973,0.00135567,./benchmark/64room_005.map.scen,5
0.0159198,32,1105,148566,148763,4534,0.00115719,0.00252703,0.00232178,0.000657518,0.00131494,./benchmark/64room_005.map.scen,6
0.023448,32,1149,255873,256133,8364,0.00228386,0.00474013,0.00415448,0.00127891,0.00213778,./benchmark/64room_005.map.scen,7
0.015356,32,1112,136996,137082,4131,0.0010171,0.00230912,0.00220873,0.000620918,0.00130847,./benchmark/64room_005.map.scen,8
0.0186083,32,1137,180270,180275,6083,0.0015796,0.00348777,0.00311555,0.000850144,0.00175796,./benchmark/64room_005.map.scen,9
0.0158825,64,1122,150498,150650,58,1.5698e-05,0.00220323,0.000736737,0.000427105,0.00172315,./benchmark/64room_005.map.scen,0
0.0156285,64,1110,152174,153443,57,1.4135e-05,0.00220232,0.00074229,0.000437236,0.00301083,./benchmark/64room_005.map.scen,1
0.0153134,64,1146,156283,156289,50,1.2973e-05,0.00180944,0.000611262,0.000338301,0.0013678,./benchmark/64room_005.map.scen,2
0.0158309,64,1109,150599,150693,57,1.3576e-05,0.00225624,0.000793777,0.000441061,0.0017731,./benchmark/64room_005.map.scen,3
0.01576,64,1131,189012,189026,81,1.8754e-05,0.00245518,0.000823973,0.000463787,0.0019624,./benchmark/64room_005.map.scen,4
