runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.66713,1,4464,1338753,1342248,0,0,0,0,0,0,./benchmark/64room_005.map.scen,0
1.96661,1,4416,1559893,1562582,0,0,0,0,0,0,./benchmark/64room_005.map.scen,1
0.778066,1,4572,734583,738941,0,0,0,0,0,0,./benchmark/64room_005.map.scen,2
1.71197,1,4412,1368497,1371801,0,0,0,0,0,0,./benchmark/64room_005.map.scen,3
2.54262,1,4512,2035410,2038228,0,0,0,0,0,0,./benchmark/64room_005.map.scen,4
1.95884,1,4400,1567809,1572527,0,0,0,0,0,0,./benchmark/64room_005.map.scen,5
2.20213,1,4396,1764437,1767381,0,0,0,0,0,0,./benchmark/64room_005.map.scen,6
4.1741,1,4572,3166138,3169283,0,0,0,0,0,0,./benchmark/64room_005.map.scen,7
1.73784,1,4424,1382273,1385763,0,0,0,0,0,0,./benchmark/64room_005.map.scen,8
3.10328,1,4536,2335014,2337781,0,0,0,0,0,0,./benchmark/64room_005.map.scen,9
2.37468,1,4464,1338753,1342248,0,1.59273,0.0384871,0.121393,0.0393838,2.8584e-05,./benchmark/64room_005.map.scen,0
2.71008,1,4416,1559893,1562582,0,1.88466,0.0455246,0.0832893,0.0462182,2.6139e-05,./benchmark/64room_005.map.scen,1
1.19445,1,4572,734583,738941,0,0.804357,0.0211444,0.0459498,0.0216197,2.4416e-05,./benchmark/64room_005.map.scen,2
2.39088,1,4412,1368497,1371801,0,1.64045,0.0393729,0.0774209,0.0402656,2.8533e-05,./benchmark/64room_005.map.scen,3
3.37167,1,4512,2035410,2038228,0,2.27935,0.0582706,0.108122,0.0595558,2.6239e-05,./benchmark/64room_005.map.scen,4
2.67823,1,4400,1567809,1572527,0,1.8487,0.0450179,0.0883921,0.0461108,2.648e-05,./benchmark/64room_005.map.scen,5
2.9592,1,4396,1764437,1767381,0,2.03818,0.0505679,0.100313,0.0518083,2.4866e-05,./benchmark/64room_005.map.scen,6
5.37909,1,4572,3166138,3169283,0,3.68756,0.0910192,0.172723,0.0930099,2.7291e-05,./benchmark/64room_005.map.scen,7
2.44042,1,4424,1382273,1385763,0,1.65484,0.0397309,0.104197,0.0406391,2.6119e-05,./benchmark/64room_005.map.scen,8
4.10465,1,4536,2335014,2337781,0,2.88535,0.0668947,0.134223,0.0685483,2.5418e-05,./benchmark/64room_005.map.scen,9
1.91804,2,4464,1653664,1660060,1656872,0.701968,0.104697,0.132354,0.433765,0.21435,./benchmark/64room_005.map.scen,0
2.1379,2,4416,1902294,1913226,1998580,0.817021,0.113725,0.154645,0.498069,0.181736,./benchmark/64room_005.map.scen,1
1.23698,2,4572,986331,990120,769210,0.406431,0.0624588,0.0759018,0.135807,0.00215602,./benchmark/64room_005.map.scen,2
1.98988,2,4412,1719837,1724414,1733309,0.729052,0.102058,0.13408,0.443788,0.00188375,./benchmark/64room_005.map.scen,3
2.63593,2,4512,2235074,2325163,2346249,1.25918,0.139063,0.182234,0.543609,3.3944e-05,./benchmark/64room_005.map.scen,4
2.19534,2,4400,1999621,2094137,2327661,0.854758,0.109535,0.163769,0.551225,0.0912661,./benchmark/64room_005.map.scen,5
2.35275,2,4396,2173684,2241824,2276172,0.99717,0.134657,0.180319,0.427169,0.110978,./benchmark/64room_005.map.scen,6
3.99379,2,4572,3676390,3791701,4163088,1.91187,0.220504,0.309867,0.761601,0.00180146,./benchmark/64room_005.map.scen,7
2.03732,2,4424,1724400,1726845,1684801,0.75232,0.104673,0.131283,0.433419,0.261036,./benchmark/64room_005.map.scen,8
3.05507,2,4536,2580302,2681909,2807989,1.45474,0.158656,0.215328,0.65588,0.000742953,./benchmark/64room_005.map.scen,9
1.34115,4,4464,1664592,1677150,739697,0.349424,0.210889,0.243484,0.195352,0.169941,./benchmark/64room_005.map.scen,0
1.50678,4,4416,1867710,1873563,860352,0.4016,0.2304,0.276094,0.241046,0.166298,./benchmark/64room_005.map.scen,1
0.930942,4,4572,1023572,1093162,465942,0.187626,0.125224,0.140655,0.111594,0.241691,./benchmark/64room_005.map.scen,2
1.40908,4,4412,1718437,1722087,756627,0.3605,0.208058,0.233292,0.212251,0.214884,./benchmark/64room_005.map.scen,3
1.89949,4,4512,2303040,2342170,1138666,0.629134,0.298783,0.361475,0.302227,0.0628319,./benchmark/64room_005.map.scen,4
1.55563,4,4400,1952220,1977174,955557,0.429173,0.230574,0.279603,0.251092,2.1761e-05,./benchmark/64room_005.map.scen,5
1.66688,4,4396,2135301,2150371,1022931,0.489106,0.256723,0.307783,0.226846,1.8504e-05,./benchmark/64room_005.map.scen,6
2.88377,4,4572,3541473,3595526,1848039,0.823048,0.486814,0.59613,0.470371,0.11254,./benchmark/64room_005.map.scen,7
1.44036,4,4424,1739754,1744982,768014,0.372084,0.21159,0.239395,0.21762,0.000138451,./benchmark/64room_005.map.scen,8
2.13018,4,4536,2614587,2617515,1224064,0.688597,0.358475,0.406111,0.310746,0.0938929,./benchmark/64room_005.map.scen,9
0.686653,8,4464,1704617,1709503,368459,0.151722,0.110736,0.120496,0.0971925,0.108265,./benchmark/64room_005.map.scen,0
0.773126,8,4416,1889210,1891508,420399,0.189065,0.124575,0.141408,0.102477,0.0987131,./benchmark/64room_005.map.scen,1
