runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
0.693802,1,3952,727116,733447,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,0
0.069551,1,4098,107070,112288,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,1
0.0138633,1,3996,27453,33561,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,2
3.06147,1,3958,2255628,2258374,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,3
3.07689,1,3998,2261499,2264254,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,4
0.0694296,1,4052,107488,112743,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,5
0.17535,1,4104,219574,224211,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,6
3.06353,1,3980,2256689,2259481,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,7
0.075424,1,4096,115354,120824,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,8
3.10145,1,4162,2313302,2316335,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,9
1.06333,1,3952,727116,733447,0,0.651816,0.0208327,0.0521924,0.021316,2.8593e-05,./benchmark/Boston_0_1024.map.scen,0
0.140017,1,4098,107070,112288,0,0.0854379,0.00308936,0.012227,0.00315492,2.4646e-05,./benchmark/Boston_0_1024.map.scen,1
0.0285943,1,3996,27453,33561,0,0.0152509,0.000793353,0.00320764,0.000810669,2.157e-05,./benchmark/Boston_0_1024.map.scen,2
3.99093,1,3958,2255628,2258374,0,2.81414,0.0647455,0.119563,0.0663684,2.7672e-05,./benchmark/Boston_0_1024.map.scen,3
3.9708,1,3998,2261499,2264254,0,2.78637,0.0648117,0.119512,0.0664357,2.7272e-05,./benchmark/Boston_0_1024.map.scen,4
0.16895,1,4052,107488,112743,0,0.0856565,0.00307286,0.0401618,0.00315015,2.5317e-05,./benchmark/Boston_0_1024.map.scen,5
0.332884,1,4104,219574,224211,0,0.206351,0.00653083,0.0283802,0.00674122,2.3454e-05,./benchmark/Boston_0_1024.map.scen,6
4.00748,1,3980,2256689,2259481,0,2.81225,0.064591,0.132938,0.066372,2.5798e-05,./benchmark/Boston_0_1024.map.scen,7
0.182491,1,4096,115354,120824,0,0.0935466,0.00332461,0.040563,0.0034119,2.3123e-05,./benchmark/Boston_0_1024.map.scen,8
4.04559,1,4162,2313302,2316335,0,2.83864,0.0662998,0.120716,0.0679135,2.653e-05,./benchmark/Boston_0_1024.map.scen,9
1.09598,2,3952,956516,964141,811925,0.331457,0.0513309,0.0659395,0.0843675,0.363423,./benchmark/Boston_0_1024.map.scen,0
0.612671,2,4098,425486,430011,179922,0.0470417,0.0116774,0.0138519,0.0242543,0.429879,./benchmark/Boston_0_1024.map.scen,1
0.38788,2,3996,290965,297151,118308,0.0324837,0.00933612,0.00948304,0.0106332,0.266692,./benchmark/Boston_0_1024.map.scen,2
3.0207,2,3958,2769912,2780517,3048824,1.09298,0.206423,0.25134,0.750455,0.00934742,./benchmark/Boston_0_1024.map.scen,3
2.85192,2,3998,2797274,2809428,3112653,1.14889,0.152721,0.231266,0.664405,0.138161,./benchmark/Boston_0_1024.map.scen,4
0.634919,2,4052,435724,440162,175958,0.0418845,0.0113869,0.0136267,0.0294761,0.44982,./benchmark/Boston_0_1024.map.scen,5
0.706662,2,4104,535052,540432,296383,0.0651456,0.01993,0.0242091,0.0503098,0.436205,./benchmark/Boston_0_1024.map.scen,6
