runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
0.787633,1,12206,760778,761154,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,0
0.76371,1,12166,754400,754518,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,1
0.77841,1,12172,771153,771292,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,2
0.77825,1,12166,769764,769878,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,3
0.841732,1,12172,823473,823592,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,4
0.841383,1,12178,824619,824732,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,5
0.785221,1,12214,776894,777009,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,6
0.790213,1,12190,781159,781300,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,7
0.767554,1,12166,761998,762159,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,8
0.798125,1,12218,781387,781615,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,9
1.20082,1,12206,760778,761154,0,0.764043,0.021853,0.0740952,0.0223453,2.4435e-05,./benchmark/maze512-4-6.map.scen,0
1.17796,1,12166,754400,754518,0,0.742602,0.0216248,0.0726523,0.0221021,2.4827e-05,./benchmark/maze512-4-6.map.scen,1
1.16802,1,12172,771153,771292,0,0.75227,0.0221527,0.0420651,0.0226344,2.5477e-05,./benchmark/maze512-4-6.map.scen,2
1.16482,1,12166,769764,769878,0,0.752228,0.0221301,0.0392388,0.0226112,2.5889e-05,./benchmark/maze512-4-6.map.scen,3
1.28285,1,12172,823473,823592,0,0.822659,0.0237055,0.0757332,0.0242519,2.3364e-05,./benchmark/maze512-4-6.map.scen,4
1.25539,1,12178,824619,824732,0,0.819194,0.0236431,0.0509371,0.0242319,2.3504e-05,./benchmark/maze512-4-6.map.scen,5
1.20322,1,12214,776894,777009,0,0.773493,0.022371,0.0617039,0.0228654,2.2762e-05,./benchmark/maze512-4-6.map.scen,6
1.20375,1,12190,781159,781300,0,0.777788,0.0224717,0.0552697,0.023,2.3574e-05,./benchmark/maze512-4-6.map.scen,7
1.16161,1,12166,761998,762159,0,0.740048,0.0218893,0.0495491,0.0223788,2.3283e-05,./benchmark/maze512-4-6.map.scen,8
1.19203,1,12218,781387,781615,0,0.771218,0.0223971,0.0468312,0.0229434,2.3915e-05,./benchmark/maze512-4-6.map.scen,9
0.801905,2,12206,830692,831420,848889,0.287119,0.0621198,0.0779376,0.199752,0.0022192,./benchmark/maze512-4-6.map.scen,0
0.764384,2,12166,805337,805431,752159,0.315522,0.062106,0.0799625,0.112592,0.00472869,./benchmark/maze512-4-6.map.scen,1
0.804749,2,12172,841950,842096,861296,0.277699,0.0613422,0.0768098,0.210823,0.00199917,./benchmark/maze512-4-6.map.scen,2
0.772666,2,12166,820109,820285,764664,0.320421,0.0584875,0.0805821,0.116294,0.00457659,./benchmark/maze512-4-6.map.scen,3
0.855379,2,12172,892058,892155,900586,0.317285,0.0651134,0.0823269,0.201778,0.00223538,./benchmark/maze512-4-6.map.scen,4
0.866448,2,12178,896806,897000,913459,0.310753,0.0685486,0.0827767,0.214021,0.00243399,./benchmark/maze512-4-6.map.scen,5
0.79727,2,12214,822123,822170,766760,0.320885,0.0606469,0.0864521,0.119098,0.00660502,./benchmark/maze512-4-6.map.scen,6
0.812259,2,12190,848776,849019,864879,0.293164,0.0627094,0.0767766,0.201876,0.00212902,./benchmark/maze512-4-6.map.scen,7
0.811053,2,12166,834517,834716,854499,0.286891,0.0684531,0.0782363,0.197783,0.00292377,./benchmark/maze512-4-6.map.scen,8
0.802327,2,12218,827847,828045,773016,0.3213,0.0623547,0.0862692,0.118982,0.00730487,./benchmark/maze512-4-6.map.scen,9
0.574131,4,12206,802013,802455,384051,0.154879,0.112548,0.141971,0.0690317,0.00750041,./benchmark/maze512-4-6.map.scen,0
0.566877,4,12166,796549,796580,377606,0.129203,0.114959,0.147144,0.0809754,0.002191,./benchmark/maze512-4-6.map.scen,1
0.58043,4,12172,818192,818207,393143,0.138093,0.116913,0.143334,0.0912148,0.0043473,./benchmark/maze512-4-6.map.scen,2
0.58264,4,12166,812847,812974,388701,0.135948,0.116977,0.148116,0.0877018,0.0019423,./benchmark/maze512-4-6.map.scen,3
0.620187,4,12172,865693,865776,411931,0.155253,0.124316,0.159623,0.0792598,0.00184331,./benchmark/maze512-4-6.map.scen,4
0.617176,4,12178,865584,865780,409055,0.142069,0.123283,0.158692,0.0856594,0.0101893,./benchmark/maze512-4-6.map.scen,5
0.584684,4,12214,815858,815872,387032,0.135162,0.11577,0.154776,0.0835266,0.00182803,./benchmark/maze512-4-6.map.scen,6
0.585468,4,12190,822234,822511,389386,0.148457,0.116572,0.150844,0.0699878,0.00258263,./benchmark/maze512-4-6.map.scen,7
0.57859,4,12166,809011,809082,389714,0.134525,0.116056,0.144934,0.0925118,0.00143258,./benchmark/maze512-4-6.map.scen,8
0.589902,4,12218,821991,822229,390091,0.136643,0.119337,0.150138,0.0833999,0.00894668,./benchmark/maze512-4-6.map.scen,9
0.292183,8,12206,811216,811258,192852,0.0608676,0.0594476,0.074301,0.0407994,0.00671232,./benchmark/maze512-4-6.map.scen,0
0.293363,8,12166,810654,810659,190982,0.0656671,0.0580628,0.0764999,0.030802,0.00940871,./benchmark/maze512-4-6.map.scen,1
0.29447,8,12172,825820,825834,195858,0.0717925,0.058095,0.0770536,0.0315706,0.00602053,./benchmark/maze512-4-6.map.scen,2
0.298476,8,12166,828323,828475,196197,0.0704077,0.0595296,0.0767923,0.0293477,0.00911922,./benchmark/maze512-4-6.map.scen,3
0.317288,8,12172,878938,878946,207052,0.0710648,0.0636334,0.0861086,0.0336221,0.00246302,./benchmark/maze512-4-6.map.scen,4
0.317752,8,12178,879667,879697,208525,0.0646148,0.0653084,0.082264,0.0428859,0.00790111,./benchmark/maze512-4-6.map.scen,5
0.303687,8,12214,833093,833197,197946,0.0629439,0.0616716,0.07877,0.0448585,0.0019002,./benchmark/maze512-4-6.map.scen,6
0.30469,8,12190,840674,840694,199275,0.0648878,0.0629295,0.0813402,0.0383232,0.00191622,./benchmark/maze512-4-6.map.scen,7
0.294956,8,12166,818172,818212,193942,0.0692461,0.0585896,0.0781082,0.0319464,0.00214049,./benchmark/maze512-4-6.map.scen,8
0.303491,8,12218,837383,837384,198557,0.0669579,0.0617082,0.0768584,0.0401256,0.00675914,./benchmark/maze512-4-6.map.scen,9
0.158162,16,12206,846991,846995,97835,0.0321995,0.0347443,0.0397665,0.0123119,0.00706172,./benchmark/maze512-4-6.map.scen,0
0.159253,16,12166,843737,843738,96735,0.0316762,0.0362654,0.0385222,0.0119987,0.0077371,./benchmark/maze512-4-6.map.scen,1
0.163566,16,12172,865716,865725,100712,0.0295834,0.0379737,0.0388432,0.0166419,0.0075599,./benchmark/maze512-4-6.map.scen,2
0.162278,16,12166,859715,859724,99462,0.0311728,0.0372561,0.0392038,0.0145717,0.00729717,./benchmark/maze512-4-6.map.scen,3
0.168071,16,12172,919949,919998,106589,0.03541,0.0398251,0.0420341,0.0148616,0.00146258,./benchmark/maze512-4-6.map.scen,4
0.165522,16,12178,913523,913548,106158,0.0340387,0.0377411,0.0404237,0.0150818,0.00587053,./benchmark/maze512-4-6.map.scen,5
0.161173,16,12214,866450,866461,99998,0.0291865,0.0375545,0.0408897,0.0171664,0.00174688,./benchmark/maze512-4-6.map.scen,6
0.162612,16,12190,870877,870892,101012,0.0299841,0.037897,0.0412874,0.0165296,0.0018209,./benchmark/maze512-4-6.map.scen,7
0.159629,16,12166,850350,850351,98179,0.030741,0.0375168,0.0404448,0.0143968,0.00186592,./benchmark/maze512-4-6.map.scen,8
0.159652,16,12218,871137,871149,101399,0.0302911,0.0372328,0.0382688,0.0165853,0.00566544,./benchmark/maze512-4-6.map.scen,9
0.0897942,32,12206,904482,904594,50444,0.0130014,0.0216922,0.0210095,0.00749578,0.00654114,./benchmark/maze512-4-6.map.scen,0
0.089408,32,12166,891169,891172,49957,0.0132267,0.0213416,0.0211868,0.00725457,0.00600891,./benchmark/maze512-4-6.map.scen,1
0.0918225,32,12172,920614,920626,52198,0.0149702,0.0221118,0.0210368,0.00636202,0.00640872,./benchmark/maze512-4-6.map.scen,2
0.0914389,32,12166,911168,911170,51202,0.0149122,0.0219911,0.0214451,0.00623579,0.00603734,./benchmark/maze512-4-6.map.scen,3
0.0943533,32,12172,964279,964284,54463,0.0145429,0.0224848,0.02226,0.00774185,0.00614412,./benchmark/maze512-4-6.map.scen,4
