runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
0.0444741,1,3211,84775,84969,0,0,0,0,0,0,./benchmark/orz900d.map.scen,0
0.0450417,1,3225,85073,85338,0,0,0,0,0,0,./benchmark/orz900d.map.scen,1
0.045736,1,3232,87202,87526,0,0,0,0,0,0,./benchmark/orz900d.map.scen,2
0.0482738,1,3208,90398,90822,0,0,0,0,0,0,./benchmark/orz900d.map.scen,3
0.0489547,1,3216,90106,90644,0,0,0,0,0,0,./benchmark/orz900d.map.scen,4
0.0455323,1,3226,86997,87301,0,0,0,0,0,0,./benchmark/orz900d.map.scen,5
0.0484607,1,3232,89930,90318,0,0,0,0,0,0,./benchmark/orz900d.map.scen,6
0.0450467,1,3217,85799,86100,0,0,0,0,0,0,./benchmark/orz900d.map.scen,7
0.0458593,1,3236,87202,87527,0,0,0,0,0,0,./benchmark/orz900d.map.scen,8
0.045407,1,3222,86702,87062,0,0,0,0,0,0,./benchmark/orz900d.map.scen,9
0.10886,1,3211,84775,84969,0,0.0557168,0.00241728,0.020306,0.00247382,2.2782e-05,./benchmark/orz900d.map.scen,0
0.126456,1,3225,85073,85338,0,0.0548246,0.00245885,0.0390099,0.00251966,2.2302e-05,./benchmark/orz900d.map.scen,1
0.110442,1,3232,87202,87526,0,0.0559827,0.00252298,0.0214031,0.00257486,2.3073e-05,./benchmark/orz900d.map.scen,2
0.106796,1,3208,90398,90822,0,0.0587687,0.00262926,0.0133518,0.00266361,2.2612e-05,./benchmark/orz900d.map.scen,3
0.126238,1,3216,90106,90644,0,0.0594592,0.00261117,0.0316929,0.00267069,2.1972e-05,./benchmark/orz900d.map.scen,4
0.110209,1,3226,86997,87301,0,0.0557789,0.0025129,0.0219679,0.00256773,2.173e-05,./benchmark/orz900d.map.scen,5
0.101754,1,3232,89930,90318,0,0.0587703,0.00258481,0.00869258,0.00265176,2.3704e-05,./benchmark/orz900d.map.scen,6
0.126183,1,3217,85799,86100,0,0.0550069,0.00248004,0.0387582,0.00252677,2.1761e-05,./benchmark/orz900d.map.scen,7
0.109326,1,3236,87202,87527,0,0.0552105,0.00250814,0.0212889,0.00256322,2.137e-05,./benchmark/orz900d.map.scen,8
0.0981705,1,3222,86702,87062,0,0.0558499,0.00251276,0.00948977,0.00256696,2.1961e-05,./benchmark/orz900d.map.scen,9
0.0752456,2,3211,87213,87395,169946,0.0227188,0.00910831,0.00951711,0.0168579,0.000178455,./benchmark/orz900d.map.scen,0
0.0760919,2,3227,87526,87732,170291,0.0224557,0.00958855,0.00970971,0.0171464,0.00020536,./benchmark/orz900d.map.scen,1
0.0785107,2,3232,90775,90807,177528,0.0229206,0.00993833,0.00982339,0.0175571,0.000858813,./benchmark/orz900d.map.scen,2
0.0811358,2,3208,93442,93782,182634,0.0239671,0.00994965,0.0103497,0.0183891,0.000209365,./benchmark/orz900d.map.scen,3
0.0813223,2,3216,93158,93555,181408,0.0231906,0.00986251,0.0104082,0.0184888,0.000282911,./benchmark/orz900d.map.scen,4
0.0776932,2,3226,89595,89890,174645,0.0227128,0.0100316,0.0097718,0.0174983,0.000207628,./benchmark/orz900d.map.scen,5
0.0805457,2,3232,92888,93203,180403,0.0231845,0.00943524,0.0101336,0.0184959,0.00110664,./benchmark/orz900d.map.scen,6
0.0762564,2,3217,88055,88326,170846,0.0221215,0.00980103,0.00976817,0.0171753,0.000229754,./benchmark/orz900d.map.scen,7
0.0788978,2,3236,90261,90301,175653,0.0233041,0.00995754,0.00966427,0.0175194,0.000742935,./benchmark/orz900d.map.scen,8
0.0776039,2,3222,89698,89726,174557,0.0226612,0.00962894,0.00973424,0.0173876,0.000937501,./benchmark/orz900d.map.scen,9
0.0548181,4,3211,90931,91095,87492,0.0121745,0.0130319,0.0139978,0.00753832,2.3256e-05,./benchmark/orz900d.map.scen,0
0.0549536,4,3229,91750,92103,88686,0.0116178,0.0131119,0.0144351,0.00775779,0.000583817,./benchmark/orz900d.map.scen,1
0.0563836,4,3232,93842,93877,90133,0.01213,0.0133658,0.0147367,0.00799527,0.000382634,./benchmark/orz900d.map.scen,2
0.0589738,4,3208,97603,97658,93600,0.012342,0.0144293,0.0153905,0.00830986,0.000315042,./benchmark/orz900d.map.scen,3
0.0583319,4,3216,97076,97248,92079,0.0117601,0.0137616,0.0154173,0.00826797,7.17668e-05,./benchmark/orz900d.map.scen,4
0.0565047,4,3226,93396,93646,88873,0.0108664,0.0136134,0.0149671,0.00797974,0.00116158,./benchmark/orz900d.map.scen,5
0.0571587,4,3232,95989,96104,91543,0.0116358,0.0137303,0.015185,0.00816649,0.000588043,./benchmark/orz900d.map.scen,6
