runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.59473,1,12784,1354639,1355436,0,0,0,0,0,0,./benchmark/orz900d.map.scen,0
1.58846,1,12846,1359360,1360428,0,0,0,0,0,0,./benchmark/orz900d.map.scen,1
1.62019,1,12874,1392289,1393659,0,0,0,0,0,0,./benchmark/orz900d.map.scen,2
1.69149,1,12778,1441805,1443523,0,0,0,0,0,0,./benchmark/orz900d.map.scen,3
1.71382,1,12810,1437628,1439834,0,0,0,0,0,0,./benchmark/orz900d.map.scen,4
1.62488,1,12844,1389387,1390638,0,0,0,0,0,0,./benchmark/orz900d.map.scen,5
1.70682,1,12874,1435736,1437344,0,0,0,0,0,0,./benchmark/orz900d.map.scen,6
1.61233,1,12814,1371051,1372244,0,0,0,0,0,0,./benchmark/orz900d.map.scen,7
1.62433,1,12890,1392289,1393660,0,0,0,0,0,0,./benchmark/orz900d.map.scen,8
1.61431,1,12834,1384642,1386101,0,0,0,0,0,0,./benchmark/orz900d.map.scen,9
2.20763,1,12784,1354639,1355436,0,1.4957,0.0389681,0.0772135,0.0440659,2.7131e-05,./benchmark/orz900d.map.scen,0
2.18448,1,12846,1359360,1360428,0,1.47921,0.0390502,0.0800223,0.039963,2.7061e-05,./benchmark/orz900d.map.scen,1
2.34173,1,12874,1392289,1393659,0,1.53846,0.0400016,0.110535,0.0409321,2.677e-05,./benchmark/orz900d.map.scen,2
2.35868,1,12778,1441805,1443523,0,1.56626,0.0414206,0.0893687,0.0423521,2.7181e-05,./benchmark/orz900d.map.scen,3
2.36635,1,12810,1437628,1439834,0,1.58972,0.0413119,0.0740992,0.0422712,2.8053e-05,./benchmark/orz900d.map.scen,4
2.32232,1,12844,1389387,1390638,0,1.52593,0.0398517,0.0918632,0.0407779,2.9485e-05,./benchmark/orz900d.map.scen,5
2.35889,1,12874,1435736,1437344,0,1.57802,0.0456615,0.0761131,0.0421253,2.5568e-05,./benchmark/orz900d.map.scen,6
2.28108,1,12814,1371051,1372244,0,1.52271,0.0393044,0.0859421,0.040293,2.706e-05,./benchmark/orz900d.map.scen,7
2.28445,1,12890,1392289,1393660,0,1.52799,0.0398441,0.073446,0.040789,2.5939e-05,./benchmark/orz900d.map.scen,8
2.28248,1,12834,1384642,1386101,0,1.51841,0.0398229,0.0831414,0.0406045,2.673e-05,./benchmark/orz900d.map.scen,9
1.5533,2,12784,1484581,1515996,1592848,0.637625,0.0950702,0.126177,0.395167,0.000121478,./benchmark/orz900d.map.scen,0
1.53882,2,12846,1460934,1482318,1528987,0.694688,0.101421,0.11829,0.320522,0.00684113,./benchmark/orz900d.map.scen,1
1.60297,2,12874,1546709,1589666,1670987,0.650483,0.096331,0.12813,0.408747,0.00503155,./benchmark/orz900d.map.scen,2
1.68889,2,12778,1553793,1580311,1614657,0.746886,0.0995895,0.12613,0.377208,0.0201289,./benchmark/orz900d.map.scen,3
1.66193,2,12810,1571297,1589939,1638469,0.649806,0.100849,0.131029,0.431771,0.0306157,./benchmark/orz900d.map.scen,4
1.60129,2,12844,1550423,1594516,1682632,0.653301,0.0975473,0.129818,0.400276,0.00279349,./benchmark/orz900d.map.scen,5
1.62306,2,12874,1553601,1568955,1618594,0.669292,0.102596,0.127229,0.395625,1.5988e-05,./benchmark/orz900d.map.scen,6
1.58055,2,12814,1519785,1562409,1646743,0.640819,0.0970285,0.127461,0.404213,0.00106882,./benchmark/orz900d.map.scen,7
1.61241,2,12890,1561015,1604115,1694621,0.622775,0.0974573,0.128277,0.440857,0.00438664,./benchmark/orz900d.map.scen,8
1.5911,2,12834,1542615,1587113,1670325,0.646107,0.0965844,0.129784,0.401649,0.00217696,./benchmark/orz900d.map.scen,9
1.119,4,12784,1469002,1479712,727407,0.315111,0.197693,0.230259,0.191484,0.030104,./benchmark/orz900d.map.scen,0
1.1074,4,12846,1441484,1451419,710584,0.30735,0.199335,0.235743,0.195502,0.017056,./benchmark/orz900d.map.scen,1
1.18393,4,12874,1536052,1539489,730675,0.311018,0.221418,0.259171,0.176122,0.0521668,./benchmark/orz900d.map.scen,2
1.22103,4,12778,1557023,1561591,748413,0.33957,0.219398,0.253734,0.197737,0.0472255,./benchmark/orz900d.map.scen,3
1.19767,4,12810,1546377,1554258,752031,0.352972,0.214077,0.251495,0.18108,0.0352115,./benchmark/orz900d.map.scen,4
1.1664,4,12844,1511160,1524446,741944,0.296422,0.202574,0.247043,0.215599,0.0445253,./benchmark/orz900d.map.scen,5
1.18279,4,12874,1532564,1541735,756146,0.337828,0.212545,0.242299,0.19864,0.0293879,./benchmark/orz900d.map.scen,6
1.14192,4,12814,1498529,1511645,737118,0.314862,0.204319,0.23829,0.199438,1.6872e-05,./benchmark/orz900d.map.scen,7
1.15917,4,12890,1515945,1518030,707528,0.280515,0.214344,0.266135,0.181622,0.0523951,./benchmark/orz900d.map.scen,8
1.15008,4,12834,1502671,1511982,717994,0.293596,0.210999,0.266141,0.159066,0.0018239,./benchmark/orz900d.map.scen,9
0.734471,8,12784,1517530,1523630,742161,0.127978,0.240227,0.135806,0.139778,0.00705637,./benchmark/orz900d.map.scen,0
0.734376,8,12846,1505929,1507494,744192,0.127954,0.246672,0.135103,0.137469,0.00296914,./benchmark/orz900d.map.scen,1
0.764087,8,12874,1566408,1575491,771351,0.117593,0.248635,0.152182,0.143375,0.0107801,./benchmark/orz900d.map.scen,2
0.776931,8,12778,1627715,1630419,803048,0.140679,0.256766,0.144805,0.147661,0.00280237,./benchmark/orz900d.map.scen,3
0.794117,8,12810,1643028,1643279,795461,0.116561,0.260361,0.15149,0.149611,0.00558022,./benchmark/orz900d.map.scen,4
0.748407,8,12844,1543080,1547377,759619,0.124485,0.245455,0.141414,0.142864,0.0103857,./benchmark/orz900d.map.scen,5
0.779998,8,12874,1628721,1634148,803494,0.132786,0.254726,0.149485,0.148236,0.00965107,./benchmark/orz900d.map.scen,6
0.735704,8,12814,1521407,1525732,751327,0.115048,0.244776,0.143352,0.140702,0.00826463,./benchmark/orz900d.map.scen,7
0.760553,8,12890,1555306,1559516,770135,0.126939,0.252256,0.141459,0.142157,0.011387,./benchmark/orz900d.map.scen,8
0.749783,8,12834,1541066,1548621,759145,0.107137,0.239624,0.156573,0.141711,0.0117553,./benchmark/orz900d.map.scen,9
0.41097,16,12784,1531624,1531977,379281,0.0578912,0.170379,0.0734163,0.0612278,0.0011782,./benchmark/orz900d.map.scen,0
0.413512,16,12848,1543278,1545952,379940,0.0600094,0.172405,0.0741412,0.0599178,0.00266677,./benchmark/orz900d.map.scen,1
0.423795,16,12874,1581116,1583237,387066,0.0538451,0.176414,0.0775974,0.0637719,0.00562803,./benchmark/orz900d.map.scen,2
0.4375,16,12778,1644976,1645027,408703,0.0652851,0.184314,0.0768739,0.0634893,0.00169096,./benchmark/orz900d.map.scen,3
0.442779,16,12810,1672484,1675309,409592,0.0657706,0.184381,0.0783629,0.0661789,0.00144762,./benchmark/orz900d.map.scen,4
0.421372,16,12844,1587638,1589481,385768,0.054945,0.17785,0.0753243,0.0637777,0.00312916,./benchmark/orz900d.map.scen,5
0.446002,16,12874,1680397,1682440,412716,0.0638858,0.187791,0.0799505,0.0661213,0.00154319,./benchmark/orz900d.map.scen,6
0.417004,16,12814,1565213,1567186,385031,0.0595938,0.173565,0.0740967,0.0624375,0.00248943,./benchmark/orz900d.map.scen,7
0.424393,16,12890,1601550,1601741,395928,0.0591768,0.173363,0.0780293,0.063102,0.000320978,./benchmark/orz900d.map.scen,8
0.423242,16,12834,1586446,1589334,394702,0.0629742,0.175937,0.0767929,0.0635172,0.00027253,./benchmark/orz900d.map.scen,9
0.216298,32,12786,1654108,1655270,204221,0.0269526,0.0921428,0.0404556,0.0275545,0.00215149,./benchmark/orz900d.map.scen,0
0.21845,32,12850,1676440,1676474,204832,0.028328,0.0951192,0.0400878,0.0273611,0.00163666,./benchmark/orz900d.map.scen,1
0.219346,32,12874,1696351,1696361,209384,0.0276741,0.0953838,0.0409168,0.0279001,0.00142168,./benchmark/orz900d.map.scen,2
0.233261,32,12778,1754575,1754584,215639,0.0299711,0.0987329,0.0441069,0.0285859,0.00210037,./benchmark/orz900d.map.scen,3
0.233295,32,12810,1794650,1797054,220220,0.0331135,0.0995016,0.0433914,0.0289886,0.00127321,./benchmark/orz900d.map.scen,4
0.217853,32,12844,1688059,1688079,208435,0.0282593,0.0932537,0.0421107,0.027751,0.0008841,./benchmark/orz900d.map.scen,5
0.233073,32,12874,1781484,1781539,216362,0.0312032,0.0985493,0.0432386,0.0292653,0.00167781,./benchmark/orz900d.map.scen,6
0.213685,32,12814,1646060,1646093,203852,0.0273643,0.091529,0.0407485,0.0272469,0.00106542,./benchmark/orz900d.map.scen,7
0.222726,32,12890,1720146,1720199,211196,0.0282602,0.095407,0.0425975,0.0284148,0.00153598,./benchmark/orz900d.map.scen,8
0.218338,32,12834,1680042,1680133,205138,0.0282699,0.0945224,0.0408692,0.0278677,0.000953052,./benchmark/orz900d.map.scen,9
0.128627,64,12784,1938142,1938200,119702,0.0154716,0.0567068,0.0247963,0.0126667,0.00118175,./benchmark/orz900d.map.scen,0
0.128724,64,12848,1916191,1916306,117862,0.0156334,0.0557937,0.024931,0.0126907,0.0015279,./benchmark/orz900d.map.scen,1
0.133185,64,12874,1971269,1971332,121349,0.0159925,0.0583774,0.0251923,0.0131822,0.000498278,./benchmark/orz900d.map.scen,2
0.137665,64,12778,2077056,2077143,127599,0.0175348,0.0607271,0.0261267,0.0136676,0.00125549,./benchmark/orz900d.map.scen,3
0.138672,64,12810,2082523,2082658,128549,0.0178236,0.0609839,0.0265181,0.0141877,0.00103823,./benchmark/orz900d.map.scen,4
0.131181,64,12844,1974410,1974471,121884,0.0155867,0.0580145,0.0250978,0.0129564,0.00119891,./benchmark/orz900d.map.scen,5
0.137277,64,12876,2047468,2047547,126026,0.0171935,0.060579,0.025815,0.013495,0.00128979,./benchmark/orz900d.map.scen,6
0.131006,64,12814,1974960,1975064,121460,0.015704,0.0576117,0.025127,0.0129845,0.00117819,./benchmark/orz900d.map.scen,7
0.131065,64,12890,1978699,1978813,121837,0.0157656,0.0581766,0.0252766,0.012925,0.00119279,./benchmark/orz900d.map.scen,8
0.129622,64,12834,1954557,1954620,120347,0.0154342,0.0567972,0.0248963,0.0129129,0.00131074,./benchmark/orz900d.map.scen,9
0.109246,128,12792,2860067,2860234,87766,0.0117033,0.0462807,0.0201403,0.00768175,0.00222541,./benchmark/orz900d.map.scen,0
0.12349,128,12854,3280588,3284337,98638,0.0132124,0.0544546,0.0228413,0.0094579,0.00358408,./benchmark/orz900d.map.scen,1
0.106081,128,12878,2697352,2697492,82934,0.0110823,0.0449698,0.0185286,0.00751373,0.00228513,./benchmark/orz900d.map.scen,2
