runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.71289,1,8570,1423718,1424727,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,0
1.89904,1,8522,1578161,1578789,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,1
1.68819,1,8516,1395631,1396311,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,2
1.60242,1,8576,1341255,1341867,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,3
1.94009,1,8580,1611844,1612311,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,4
1.78786,1,8556,1480981,1481621,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,5
1.94373,1,8578,1621060,1621396,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,6
1.72244,1,8546,1445604,1446564,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,7
1.93082,1,8564,1600240,1600661,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,8
1.61215,1,8552,1352101,1352723,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,9
2.38135,1,8570,1423718,1424727,0,1.59424,0.0409508,0.0737765,0.0418731,2.8163e-05,./benchmark/random512-40-5.map.scen,0
2.61439,1,8522,1578161,1578789,0,1.73474,0.0452766,0.0891242,0.0463329,2.8834e-05,./benchmark/random512-40-5.map.scen,1
2.32574,1,8516,1395631,1396311,0,1.55286,0.0401831,0.0727979,0.0410265,2.7682e-05,./benchmark/random512-40-5.map.scen,2
2.2038,1,8576,1341255,1341867,0,1.50028,0.0385073,0.0691693,0.0393522,2.7471e-05,./benchmark/random512-40-5.map.scen,3
2.66646,1,8580,1611844,1612311,0,1.78825,0.0462081,0.0849176,0.0472404,2.7502e-05,./benchmark/random512-40-5.map.scen,4
2.48767,1,8556,1480981,1481621,0,1.64368,0.0425422,0.095676,0.043586,2.7471e-05,./benchmark/random512-40-5.map.scen,5
2.67342,1,8578,1621060,1621396,0,1.79466,0.0465037,0.0827787,0.0475536,2.5388e-05,./benchmark/random512-40-5.map.scen,6
2.39096,1,8546,1445604,1446564,0,1.59635,0.0414608,0.0731109,0.0423478,2.7201e-05,./benchmark/random512-40-5.map.scen,7
2.653,1,8564,1600240,1600661,0,1.75443,0.0458731,0.100403,0.046896,2.699e-05,./benchmark/random512-40-5.map.scen,8
2.28347,1,8552,1352101,1352723,0,1.51158,0.0389248,0.0946297,0.0397917,2.6641e-05,./benchmark/random512-40-5.map.scen,9
1.69269,2,8570,1590596,1593239,1596515,0.578077,0.133779,0.157205,0.47194,0.00714469,./benchmark/random512-40-5.map.scen,0
1.83279,2,8522,1749133,1751045,1744859,0.700738,0.137964,0.164142,0.453789,0.00566312,./benchmark/random512-40-5.map.scen,1
1.6578,2,8516,1556778,1558870,1554532,0.573289,0.132099,0.154645,0.448546,0.00762167,./benchmark/random512-40-5.map.scen,2
1.59395,2,8576,1491777,1493902,1489748,0.547538,0.129716,0.147449,0.432382,0.00745196,./benchmark/random512-40-5.map.scen,3
1.86392,2,8580,1789098,1790387,1784241,0.652085,0.136767,0.169625,0.517589,0.00585202,./benchmark/random512-40-5.map.scen,4
1.75602,2,8556,1657321,1659257,1665759,0.603956,0.136334,0.161916,0.487724,0.00738298,./benchmark/random512-40-5.map.scen,5
1.81884,2,8578,1800644,1801820,1796711,0.720711,0.119854,0.159143,0.459902,0.00162656,./benchmark/random512-40-5.map.scen,6
1.69916,2,8546,1597655,1600203,1563863,0.617622,0.13348,0.160296,0.417967,0.00844884,./benchmark/random512-40-5.map.scen,7
1.79623,2,8564,1782909,1784297,1784393,0.662054,0.115949,0.157352,0.505619,0.00173887,./benchmark/random512-40-5.map.scen,8
1.61416,2,8552,1505053,1506796,1501180,0.542299,0.131562,0.151655,0.450435,0.00750912,./benchmark/random512-40-5.map.scen,9
1.17974,4,8570,1612287,1612291,645236,0.288098,0.213224,0.314548,0.14313,0.0081337,./benchmark/random512-40-5.map.scen,0
1.3215,4,8522,1778310,1779416,717265,0.34699,0.2435,0.34966,0.128396,0.0141257,./benchmark/random512-40-5.map.scen,1
