runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.69083,1,4464,1338753,1342248,0,0,0,0,0,0,./benchmark/64room_005.map.scen,0
1.98958,1,4416,1559893,1562582,0,0,0,0,0,0,./benchmark/64room_005.map.scen,1
0.794246,1,4572,734583,738941,0,0,0,0,0,0,./benchmark/64room_005.map.scen,2
1.73318,1,4412,1368497,1371801,0,0,0,0,0,0,./benchmark/64room_005.map.scen,3
2.58235,1,4512,2035410,2038228,0,0,0,0,0,0,./benchmark/64room_005.map.scen,4
1.9894,1,4400,1567809,1572527,0,0,0,0,0,0,./benchmark/64room_005.map.scen,5
2.23382,1,4396,1764437,1767381,0,0,0,0,0,0,./benchmark/64room_005.map.scen,6
4.17452,1,4572,3166138,3169283,0,0,0,0,0,0,./benchmark/64room_005.map.scen,7
1.75097,1,4424,1382273,1385763,0,0,0,0,0,0,./benchmark/64room_005.map.scen,8
3.14676,1,4536,2335014,2337781,0,0,0,0,0,0,./benchmark/64room_005.map.scen,9
1.8314,2,4464,1709691,1710547,1719183,0.829914,0.125702,0.165903,0.317726,0.00384116,./benchmark/64room_005.map.scen,0
2.08051,2,4416,1949949,1950450,1674495,0.913233,0.158223,0.181491,0.339676,0.0264283,./benchmark/64room_005.map.scen,1
1.00945,2,4572,925123,931612,1016161,0.398301,0.065447,0.0905967,0.180172,0.0194227,./benchmark/64room_005.map.scen,2
1.84883,2,4412,1734772,1741766,1805901,0.761896,0.123103,0.171888,0.397096,0.000570308,./benchmark/64room_005.map.scen,3
2.61431,2,4512,2415953,2417175,2079535,1.17499,0.20925,0.2286,0.394374,0.015776,./benchmark/64room_005.map.scen,4
2.13771,2,4400,1993054,1995750,2178740,0.929327,0.134044,0.190726,0.414657,0.0300422,./benchmark/64room_005.map.scen,5
2.33379,2,4396,2146491,2147021,2100332,1.01499,0.165029,0.207608,0.390228,0.000912974,./benchmark/64room_005.map.scen,6
4.48626,2,4572,3922057,3922498,4490017,1.96299,0.250716,0.379281,1.08,0.000162097,./benchmark/64room_005.map.scen,7
1.83942,2,4424,1726897,1728101,1499319,0.864269,0.140941,0.162638,0.234505,0.000416386,./benchmark/64room_005.map.scen,8
