runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
3.47348,1,7902,2904625,2917273,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,0
0.427949,1,8196,422250,432673,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,1
0.0467877,1,7992,91209,103675,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,2
14.028,1,7914,9020851,9026417,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,3
14.0731,1,7994,9044197,9049814,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,4
0.420094,1,8104,422422,433237,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,5
1.06802,1,8208,872546,881738,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,6
14.0388,1,7958,9024873,9030610,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,7
0.457649,1,8192,450996,461794,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,8
14.2467,1,8324,9250871,9256870,0,0,0,0,0,0,./benchmark/Boston_0_1024.map.scen,9
3.78614,2,7902,3164189,3199419,3206201,1.5811,0.237515,0.302222,0.717202,0.000462503,./benchmark/Boston_0_1024.map.scen,0
0.853068,2,8196,619228,625736,669479,0.27224,0.0431221,0.0588105,0.120697,0.000495599,./benchmark/Boston_0_1024.map.scen,1
0.387995,2,7992,136351,147627,106807,0.0336313,0.00840063,0.00993011,0.0157695,0.0443232,./benchmark/Boston_0_1024.map.scen,2
15.6796,2,7914,11287976,11290490,12904270,7.22852,0.79753,1.14259,3.72418,0.0689698,./benchmark/Boston_0_1024.map.scen,3
15.3948,2,7994,11134424,11145569,12574476,7.11938,0.806041,1.14722,3.62863,0.0271485,./benchmark/Boston_0_1024.map.scen,4
0.837867,2,8104,600782,611778,620538,0.246366,0.0416266,0.0558825,0.096557,0.000612573,./benchmark/Boston_0_1024.map.scen,5
1.51839,2,8208,1239042,1245833,1396429,0.527033,0.0924962,0.123246,0.298725,0.0102139,./benchmark/Boston_0_1024.map.scen,6
15.9732,2,7958,11390666,11398855,13142297,6.5053,0.896571,1.28288,4.42058,0.168465,./benchmark/Boston_0_1024.map.scen,7
0.920527,2,8192,627128,634313,617645,0.317549,0.0483457,0.0595311,0.110746,0.000976783,./benchmark/Boston_0_1024.map.scen,8
15.2517,2,8324,11234526,11244100,10537518,7.32165,0.954063,1.11605,2.89257,0.082413,./benchmark/Boston_0_1024.map.scen,9
3.22043,4,7902,3386722,3412849,2618250,0.80319,0.698138,0.489244,0.56855,0.0645476,./benchmark/Boston_0_1024.map.scen,0
1.3599,4,8196,1149740,1168995,814744,0.323266,0.312776,0.125551,0.189126,0.00689329,./benchmark/Boston_0_1024.map.scen,1
