runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
15.5145,1,7750,10516463,10522167,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,0
15.9139,1,7842,10681560,10686864,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,1
0.038647,1,7808,78669,89661,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,2
0.266642,1,7818,345766,357901,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,3
0.106984,1,7822,158050,168107,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,4
0.104708,1,7818,157658,167741,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,5
14.6426,1,7860,9746932,9750307,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,6
15.3377,1,7782,10477036,10482583,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,7
0.149985,1,7808,204329,214347,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,8
16.188,1,7782,10565319,10570442,0,0,0,0,0,0,./benchmark/Paris_1_1024.map.scen,9
16.5656,2,7750,12339634,12355387,13813602,7.94084,0.823801,1.2295,3.68364,5.9272e-05,./benchmark/Paris_1_1024.map.scen,0
17.4573,2,7842,12871278,12871967,14545882,8.27808,0.849435,1.28334,4.0884,0.000159988,./benchmark/Paris_1_1024.map.scen,1
0.370333,2,7808,121776,132129,95172,0.0299649,0.00768107,0.0088135,0.0128068,0.039509,./benchmark/Paris_1_1024.map.scen,2
0.781211,2,7818,446796,459223,416405,0.169561,0.0338757,0.0393756,0.0675034,8.12128e-05,./benchmark/Paris_1_1024.map.scen,3
0.46411,2,7822,224960,234666,189652,0.0740246,0.0164675,0.0186058,0.024585,0.036856,./benchmark/Paris_1_1024.map.scen,4
0.471954,2,7818,235973,244317,198255,0.0765088,0.017304,0.0196295,0.0271,6.40389e-05,./benchmark/Paris_1_1024.map.scen,5
15.7434,2,7860,11686782,11695767,13227123,7.6616,0.779787,1.14109,3.45471,6.9943e-05,./benchmark/Paris_1_1024.map.scen,6
16.4572,2,7782,12256457,12271962,13670779,7.84908,0.844541,1.19796,3.65868,1.0958e-05,./benchmark/Paris_1_1024.map.scen,7
0.560513,2,7808,314952,321801,298809,0.144355,0.0278128,0.0295873,0.0464748,0.00117836,./benchmark/Paris_1_1024.map.scen,8
17.8856,2,7782,12885512,12900501,13941681,7.73249,1.06334,1.39745,4.47279,0.0418236,./benchmark/Paris_1_1024.map.scen,9
12.33,4,7750,12762486,12770303,9993555,3.19753,2.55506,1.80795,3.16346,0.00201083,./benchmark/Paris_1_1024.map.scen,0
13.4754,4,7842,13824736,13825323,10753529,3.74619,2.8549,1.94936,3.26504,0.00401295,./benchmark/Paris_1_1024.map.scen,1
1.28367,4,7808,1001976,1012434,685333,0.297802,0.307473,0.136427,0.150928,0.000173482,./benchmark/Paris_1_1024.map.scen,2
1.52227,4,7818,1313119,1320528,331629,0.077619,0.0979161,0.0628873,0.0484525,1.8465e-05,./benchmark/Paris_1_1024.map.scen,3
1.36819,4,7822,1110359,1120293,770390,0.324162,0.328189,0.149448,0.166194,0.000169867,./benchmark/Paris_1_1024.map.scen,4
1.2315,4,7818,973905,976793,679085,0.259883,0.290288,0.127912,0.172904,0.000109436,./benchmark/Paris_1_1024.map.scen,5
12.0338,4,7860,12149643,12157993,9687319,3.4573,2.3608,1.72236,3.0336,1.7072e-05,./benchmark/Paris_1_1024.map.scen,6
12.6259,4,7782,12544324,12552863,9773205,3.10318,2.51541,1.7398,3.07681,0.000174565,./benchmark/Paris_1_1024.map.scen,7
1.139,4,7808,891273,894888,626497,0.24304,0.254282,0.0878363,0.179458,0.000106139,./benchmark/Paris_1_1024.map.scen,8
13.0559,4,7782,13407821,13419426,10529065,3.66522,2.63279,1.91785,3.13615,0.0705155,./benchmark/Paris_1_1024.map.scen,9
7.2538,8,7756,12685035,12701817,5756028,1.65724,1.70374,0.901104,1.75379,0.0075431,./benchmark/Paris_1_1024.map.scen,0
7.42053,8,7848,13607270,13609183,6229693,1.94281,1.7391,0.946595,1.85045,0.000104072,./benchmark/Paris_1_1024.map.scen,1
1.05677,8,7822,1220024,1222198,515673,0.159667,0.269366,0.0783427,0.138544,0.000257377,./benchmark/Paris_1_1024.map.scen,4
1.0768,8,7818,1360844,1362735,576242,0.186176,0.309626,0.0751694,0.154653,0.000205139,./benchmark/Paris_1_1024.map.scen,5
6.8581,8,7860,12307948,12335803,5634980,1.81675,1.57798,0.840014,1.74744,0.00588902,./benchmark/Paris_1_1024.map.scen,6
6.933,8,7782,12775509,12792208,5713397,1.65286,1.75352,0.923949,1.68318,0.00337008,./benchmark/Paris_1_1024.map.scen,7
2.24945,8,7808,3713116,3741829,1594600,0.367321,0.694229,0.235984,0.404331,0.0490855,./benchmark/Paris_1_1024.map.scen,8
7.29045,8,7788,13283735,13306291,6036457,1.79715,1.76845,0.92825,1.77525,0.0688708,./benchmark/Paris_1_1024.map.scen,9
3.86898,16,7750,12017053,12033440,2866756,0.731363,1.16766,0.449711,0.767109,0.000143769,./benchmark/Paris_1_1024.map.scen,0
3.73401,16,7842,12043827,12057262,2880035,0.742525,1.16742,0.453245,0.754417,0.000192187,./benchmark/Paris_1_1024.map.scen,1
1.09223,16,7818,2063087,2373024,480539,0.112437,0.260441,0.0775252,0.121599,0.136015,./benchmark/Paris_1_1024.map.scen,3
3.49079,16,7862,11013125,11020676,2661761,0.723851,1.04585,0.413384,0.730248,0.000134754,./benchmark/Paris_1_1024.map.scen,6
3.70471,16,7782,12073197,12073694,2881093,0.767441,1.14288,0.449887,0.741433,6.1837e-05,./benchmark/Paris_1_1024.map.scen,7
0.747349,16,7808,1358452,1526879,315357,0.0696914,0.173549,0.0465119,0.0633674,0.0514392,./benchmark/Paris_1_1024.map.scen,8
3.7199,16,7782,12033322,12045611,2868071,0.752086,1.16477,0.445727,0.72454,0.0256551,./benchmark/Paris_1_1024.map.scen,9
2.08462,32,7750,11821380,11833336,1447658,0.335847,0.670289,0.222119,0.332278,0.00583918,./benchmark/Paris_1_1024.map.scen,0
2.14767,32,7842,12023690,12023839,1476746,0.362648,0.683124,0.229873,0.345105,0.000109568,./benchmark/Paris_1_1024.map.scen,1
0.746834,32,7818,2230410,2412375,270588,0.063916,0.176679,0.045143,0.0602324,0.0676548,./benchmark/Paris_1_1024.map.scen,3
0.735497,32,7818,2388433,2474165,290249,0.0696066,0.176922,0.0442713,0.0590197,0.0400825,./benchmark/Paris_1_1024.map.scen,5
1.97451,32,7860,10818258,10827520,1341518,0.344224,0.604781,0.196649,0.310907,0.000199402,./benchmark/Paris_1_1024.map.scen,6
2.01659,32,7782,11808745,11819659,1443132,0.356818,0.674508,0.218235,0.313707,0.00668751,./benchmark/Paris_1_1024.map.scen,7
0.640448,32,7808,1825725,2096079,221563,0.056151,0.147458,0.0382309,0.0403979,0.050189,./benchmark/Paris_1_1024.map.scen,8
2.08027,32,7782,12244933,12253685,1509611,0.362582,0.69159,0.230047,0.341191,0.00807283,./benchmark/Paris_1_1024.map.scen,9
1.24267,64,7750,12074735,12074915,749234,0.172261,0.417462,0.119093,0.15735,0.000193178,./benchmark/Paris_1_1024.map.scen,0
1.25734,64,7842,12458765,12458870,774591,0.179616,0.427512,0.12249,0.160118,0.000122134,./benchmark/Paris_1_1024.map.scen,1
0.758611,64,7808,4337881,4570584,268278,0.0594504,0.204148,0.0460971,0.0552999,0.0758292,./benchmark/Paris_1_1024.map.scen,2
0.763658,64,7818,4108856,4233246,253418,0.0539505,0.178534,0.0430651,0.045862,0.0603292,./benchmark/Paris_1_1024.map.scen,3
0.749106,64,7822,4203596,4379783,259653,0.0536104,0.200583,0.0461683,0.0542485,0.0791948,./benchmark/Paris_1_1024.map.scen,4
0.725059,64,7818,3556825,3704345,219383,0.0454944,0.162738,0.0373952,0.0387041,0.0654537,./benchmark/Paris_1_1024.map.scen,5
1.14791,64,7860,10793176,10793284,680268,0.169922,0.37168,0.106825,0.145916,0.000295662,./benchmark/Paris_1_1024.map.scen,6
1.29469,64,7782,11869788,11870013,736952,0.172248,0.405332,0.115883,0.15522,0.000301535,./benchmark/Paris_1_1024.map.scen,7
0.751863,64,7808,4233453,4451077,261735,0.0565743,0.203825,0.0454293,0.0543463,0.0756554,./benchmark/Paris_1_1024.map.scen,8
1.28318,64,7782,12881859,12882422,802622,0.18449,0.439768,0.124379,0.162004,6.07849e-05,./benchmark/Paris_1_1024.map.scen,9
0.919813,128,7750,12907591,12907870,403919,0.0972915,0.288927,0.0729431,0.0777142,0.000385309,./benchmark/Paris_1_1024.map.scen,0
1.0202,128,7842,13557098,13557264,422783,0.101178,0.306889,0.0740748,0.0803909,0.000247786,./benchmark/Paris_1_1024.map.scen,1
0.492416,128,7808,2699469,2755283,83290,0.0185181,0.0744218,0.0148155,0.0118428,0.0198127,./benchmark/Paris_1_1024.map.scen,2
0.464735,128,7818,2164811,2210125,66316,0.0139616,0.0619349,0.011376,0.00806589,0.0186964,./benchmark/Paris_1_1024.map.scen,3
0.517415,128,7822,1336224,1369092,41278,0.00941277,0.0586506,0.00700598,0.0052459,0.0249709,./benchmark/Paris_1_1024.map.scen,4
0.568648,128,7818,2434522,2508936,74775,0.0185203,0.0813261,0.0135009,0.0116286,0.0149984,./benchmark/Paris_1_1024.map.scen,5
0.88495,128,7862,11191218,11196767,350531,0.0890944,0.271562,0.0566693,0.0696805,0.00324672,./benchmark/Paris_1_1024.map.scen,6
0.91611,128,7782,12560158,12560363,392785,0.0962049,0.289914,0.0703797,0.0771539,0.000706986,./benchmark/Paris_1_1024.map.scen,7
0.451077,128,7808,1758474,1790206,54498,0.0113684,0.0560946,0.0094594,0.00627623,0.0185214,./benchmark/Paris_1_1024.map.scen,8
