runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
3.9082,1,24084,3031092,3031897,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,0
3.85727,1,23992,3017438,3017666,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,1
3.9232,1,24012,3084282,3084563,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,2
3.95234,1,24000,3079001,3079231,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,3
4.25423,1,24006,3293485,3293707,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,4
4.23383,1,24016,3298178,3298407,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,5
3.95662,1,24104,3105769,3106062,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,6
4.00597,1,24052,3121513,3121751,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,7
3.89145,1,23996,3047631,3047923,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,8
4.01451,1,24110,3122166,3122588,0,0,0,0,0,0,./benchmark/maze512-4-6.map.scen,9
4.09079,2,24084,3571071,3571183,3552964,1.49498,0.339723,0.387695,0.93577,0.0191803,./benchmark/maze512-4-6.map.scen,0
4.04364,2,23992,3562276,3562502,3702532,1.69947,0.316873,0.385906,0.743196,0.0162427,./benchmark/maze512-4-6.map.scen,1
4.10846,2,24012,3631283,3631529,3765887,1.51702,0.315833,0.385745,0.966726,0.020652,./benchmark/maze512-4-6.map.scen,2
4.01318,2,24000,3585596,3586240,3454233,1.73385,0.318467,0.375777,0.656841,0.0148276,./benchmark/maze512-4-6.map.scen,3
4.31159,2,24006,3874214,3874409,3922082,1.84549,0.326144,0.40101,0.801395,0.0126585,./benchmark/maze512-4-6.map.scen,4
4.38328,2,24016,3889091,3889449,3927904,1.83861,0.336671,0.406974,0.797776,0.068921,./benchmark/maze512-4-6.map.scen,5
4.15001,2,24104,3644978,3645424,3610651,1.5368,0.327273,0.389216,0.919022,0.0745694,./benchmark/maze512-4-6.map.scen,6
4.17434,2,24052,3667070,3667285,3656768,1.5787,0.32718,0.383061,0.907339,0.0736206,./benchmark/maze512-4-6.map.scen,7
3.96762,2,23996,3548896,3548922,3500835,1.56795,0.304234,0.363211,0.811502,0.0516109,./benchmark/maze512-4-6.map.scen,8
4.16638,2,24110,3665650,3666085,3771703,1.63802,0.328109,0.395046,0.872697,0.0189941,./benchmark/maze512-4-6.map.scen,9
3.02857,4,24084,3537405,3539199,2691427,0.677122,0.790731,0.541715,0.578157,0.00678866,./benchmark/maze512-4-6.map.scen,0
2.99865,4,23992,3516820,3516883,2665089,0.67664,0.784587,0.535342,0.560914,0.0047145,./benchmark/maze512-4-6.map.scen,1
3.11286,4,24012,3598961,3599420,2736591,0.685707,0.805244,0.53667,0.58734,0.0196998,./benchmark/maze512-4-6.map.scen,2
3.10472,4,24000,3653811,3654401,2747853,0.730927,0.824851,0.557676,0.535885,0.0064706,./benchmark/maze512-4-6.map.scen,3
3.36866,4,24006,3960770,3960926,3025422,0.710887,0.893631,0.595522,0.666082,0.0193022,./benchmark/maze512-4-6.map.scen,4
3.30302,4,24016,3892734,3892797,2963976,0.711763,0.870327,0.579939,0.658743,0.0200954,./benchmark/maze512-4-6.map.scen,5
3.19524,4,24104,3720085,3720662,2842208,0.733296,0.826331,0.572141,0.569826,0.0200728,./benchmark/maze512-4-6.map.scen,6
3.20275,4,24052,3722357,3722384,2844705,0.721344,0.833763,0.561334,0.576806,0.0275847,./benchmark/maze512-4-6.map.scen,7
3.10351,4,23996,3645223,3645245,2757602,0.661915,0.814245,0.554636,0.615659,0.0204793,./benchmark/maze512-4-6.map.scen,8
3.19641,4,24110,3754879,3755077,2867743,0.723925,0.83189,0.559543,0.575942,0.0280113,./benchmark/maze512-4-6.map.scen,9
