runtime,nproc,path cost,#node expanded,#node generated,#node received,expand node time,send msg time,rcv msg time,push msg time,barreir time,instance name,trial index
1.73611,1,8570,1423718,1424727,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,0
1.91251,1,8522,1578161,1578789,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,1
1.68564,1,8516,1395631,1396311,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,2
1.61501,1,8576,1341255,1341867,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,3
1.94103,1,8580,1611844,1612311,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,4
1.79126,1,8556,1480981,1481621,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,5
1.97531,1,8578,1621060,1621396,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,6
1.73366,1,8546,1445604,1446564,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,7
1.94216,1,8564,1600240,1600661,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,8
1.62827,1,8552,1352101,1352723,0,0,0,0,0,0,./benchmark/random512-40-5.map.scen,9
1.78337,2,8570,1618835,1620647,1513014,0.6989,0.140999,0.167351,0.346194,0.00658037,./benchmark/random512-40-5.map.scen,0
1.92342,2,8522,1794322,1794415,1658500,0.782216,0.144639,0.180872,0.35521,0.00542363,./benchmark/random512-40-5.map.scen,1
1.75101,2,8516,1583721,1583856,1461333,0.744875,0.133067,0.165351,0.273392,0.0276635,./benchmark/random512-40-5.map.scen,2
1.67847,2,8576,1514506,1514527,1388975,0.65978,0.126472,0.153831,0.318937,0.0263481,./benchmark/random512-40-5.map.scen,3
2.02774,2,8580,1839564,1840183,1796149,0.82507,0.145098,0.193249,0.38334,0.00957357,./benchmark/random512-40-5.map.scen,4
1.84473,2,8556,1681538,1682776,1573625,0.724364,0.146291,0.174805,0.360382,0.00677443,./benchmark/random512-40-5.map.scen,5
